route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
269_139_TLT_272,269,139,Länstaxi,,3,http://www.ResRobot.se,,
269_109_BLT_271,269,109,,,3,http://www.ResRobot.se,,
275_512_BLT,275,512,,,3,http://www.ResRobot.se,,
269_587_TLT_272,269,587,Länstaxi,,3,http://www.ResRobot.se,,
269_109_BLT_273,269,109,,,3,http://www.ResRobot.se,,
279_3772_TLT_262,279,772,Länstaxi,,3,http://www.ResRobot.se,,
269_207_BLT_272,269,207,,,3,http://www.ResRobot.se,,
269_207_BLT_273,269,207,,,3,http://www.ResRobot.se,,
279_6391_BLT_262,279,391,,,3,http://www.ResRobot.se,,
265_703_TLT,265,703,Länstaxi,,3,http://www.ResRobot.se,,
251_858_BLT,251,858,,,3,http://www.ResRobot.se,,
269_137_BLT_272,269,137,,,3,http://www.ResRobot.se,,
269_137_BLT_273,269,137,,,3,http://www.ResRobot.se,,
279_6302_BLT_262,279,2,,,3,http://www.ResRobot.se,,
269_547_TLT_272,269,547,Länstaxi,,3,http://www.ResRobot.se,,
279_4395_TLT_262,279,895,Länstaxi,,3,http://www.ResRobot.se,,
258_3310_BLT,258,310,,,3,http://www.ResRobot.se,,
258_25_BLT,258,25,,,3,http://www.ResRobot.se,,
255_240_BLT,255,240,,,3,http://www.ResRobot.se,,
256_159_BLT,256,159,,,3,http://www.ResRobot.se,,
253_63_BLT,253,63,,,3,http://www.ResRobot.se,,
276_225_BLT,276,225,,,3,http://www.ResRobot.se,,
267_345_BLT,267,345,,,3,http://www.ResRobot.se,,
279_4064_BLT_262,279,64,,,3,http://www.ResRobot.se,,
320_17_FLT,320,17,,,4,http://www.ResRobot.se,,
268_62_BLT,268,62,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
261_666_BLT,261,666,,,3,http://www.ResRobot.se,,
253_651_BLT,253,651,,,3,http://www.ResRobot.se,,
269_422_BLT_273,269,422,,,3,http://www.ResRobot.se,,
269_422_BLT_272,269,422,,,3,http://www.ResRobot.se,,
276_443_BLT,276,443,Ringbuss,,3,http://www.ResRobot.se,,
279_2330_BLT_262,279,330,,,3,http://www.ResRobot.se,,
269_422_BLT_271,269,422,,,3,http://www.ResRobot.se,,
267_345_TLT,267,345,Länstaxi,,3,http://www.ResRobot.se,,
275_316_BLT,275,316,,,3,http://www.ResRobot.se,,
254_254_BLT,254,254,,,3,http://www.ResRobot.se,,
261_431_TLT,261,431,Länstaxi,,3,http://www.ResRobot.se,,
252_663_BLT,252,663,,,3,http://www.ResRobot.se,,
251_12_BLT,251,12,,,3,http://www.ResRobot.se,,
268_99_BLT,268,99,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
254_301_BLT,254,301,,,3,http://www.ResRobot.se,,
269_157_TLT_272,269,157,Länstaxi,,3,http://www.ResRobot.se,,
310_BLT,310,,BT Buss,,3,http://www.ResRobot.se,,
275_646_BLT,275,646,,,3,http://www.ResRobot.se,,
275_74_BLT,275,74,,,3,http://www.ResRobot.se,,
279_3821_TLT_262,279,131,Länstaxi,,3,http://www.ResRobot.se,,
254_26_BLT,254,26,,,3,http://www.ResRobot.se,,
268_42_BLT,268,42,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
269_157_TLT_271,269,157,Länstaxi,,3,http://www.ResRobot.se,,
276_217_TLT,276,217,Länstaxi,,3,http://www.ResRobot.se,,
275_438_BLT,275,438,,,3,http://www.ResRobot.se,,
279_3402_BLT_262,279,402,,,3,http://www.ResRobot.se,,
279_2300_BLT_262,279,300,,,3,http://www.ResRobot.se,,
275_631_BLT,275,631,,,3,http://www.ResRobot.se,,
279_3504_BLT_262,279,504,,,3,http://www.ResRobot.se,,
265_600_BLT,265,600,,,3,http://www.ResRobot.se,,
276_301_BLT,276,301,,,3,http://www.ResRobot.se,,
255_325_BLT,255,325,,,3,http://www.ResRobot.se,,
276_146_BLT,276,146,,,3,http://www.ResRobot.se,,
74_J,74,,SJ,,2,http://www.ResRobot.se,,
269_213_BLT_273,269,213,,,3,http://www.ResRobot.se,,
267_118_BLT,267,118,,,3,http://www.ResRobot.se,,
279_5136_BLT_262,279,136,,,3,http://www.ResRobot.se,,
602_402_BLT,602,402,,,3,http://www.ResRobot.se,,
601_1051_BLT_265,601,51,,,3,http://www.ResRobot.se,,
289_761_BLT,289,761,,,3,http://www.ResRobot.se,,
74_B,74,6911,,,3,http://www.ResRobot.se,,
269_213_BLT_272,269,213,,,3,http://www.ResRobot.se,,
253_310_BLT,253,310,,,3,http://www.ResRobot.se,,
269_592_TLT_272,269,592,Länstaxi,,3,http://www.ResRobot.se,,
279_4092_BLT_262,279,92,,,3,http://www.ResRobot.se,,
253_1004_BLT,253,3,,,3,http://www.ResRobot.se,,
279_6308_BLT_262,279,308,,,3,http://www.ResRobot.se,,
253_543_BLT,253,543,,,3,http://www.ResRobot.se,,
279_2156_BLT_262,279,156,,,3,http://www.ResRobot.se,,
269_190_BLT,269,190,,,3,http://www.ResRobot.se,,
275_102_BLT,275,102,,,3,http://www.ResRobot.se,,
