service_id,date,exception_type
31,20140911,1
31,20140915,1
31,20140916,1
31,20140917,1
31,20140918,1
31,20140922,1
31,20140923,1
31,20140924,1
31,20140925,1
31,20140929,1
31,20140930,1
31,20141001,1
31,20141002,1
31,20141006,1
31,20141007,1
31,20141008,1
31,20141009,1
31,20141013,1
31,20141014,1
31,20141015,1
31,20141016,1
31,20141020,1
31,20141021,1
31,20141022,1
31,20141023,1
31,20141027,1
31,20141028,1
31,20141029,1
31,20141030,1
31,20141103,1
31,20141104,1
31,20141105,1
31,20141106,1
31,20141110,1
31,20141111,1
31,20141112,1
31,20141113,1
31,20141117,1
31,20141118,1
31,20141119,1
31,20141120,1
31,20141124,1
31,20141125,1
31,20141126,1
31,20141127,1
31,20141201,1
31,20141202,1
31,20141203,1
31,20141204,1
31,20141208,1
31,20141209,1
31,20141210,1
31,20141211,1
34,20140629,2
34,20140706,2
34,20140713,2
34,20140720,2
34,20140727,2
34,20140803,2
34,20140810,2
34,20140817,2
34,20140824,2
34,20140831,2
34,20140907,2
34,20140914,2
34,20140928,2
34,20141005,2
34,20141012,2
34,20141019,2
34,20141026,2
34,20141102,2
34,20141109,2
34,20141116,2
34,20141123,2
34,20141130,2
34,20141207,2
35,20140628,2
35,20140629,2
35,20140705,2
35,20140706,2
35,20140712,2
35,20140713,2
35,20140719,2
35,20140720,2
35,20140726,2
35,20140727,2
35,20140802,2
35,20140803,2
35,20140809,2
35,20140810,2
35,20140816,2
35,20140817,2
35,20140823,2
35,20140824,2
35,20140830,2
35,20140831,2
35,20140906,2
35,20140907,2
35,20140913,2
35,20140914,2
35,20140920,2
35,20140921,2
35,20140927,2
35,20140928,2
35,20141004,2
35,20141005,2
35,20141011,2
35,20141012,2
35,20141017,2
35,20141018,2
35,20141019,2
35,20141025,2
35,20141026,2
35,20141101,2
35,20141102,2
35,20141108,2
35,20141109,2
35,20141115,2
35,20141116,2
35,20141122,2
35,20141123,2
35,20141129,2
35,20141130,2
35,20141206,2
35,20141207,2
35,20141213,2
32,20140706,1
32,20140713,1
32,20140720,1
32,20140727,1
32,20140803,1
32,20140810,1
32,20140817,1
32,20140824,1
32,20140831,1
32,20140907,1
32,20140914,1
32,20140928,1
32,20141005,1
32,20141012,1
32,20141019,1
32,20141026,1
32,20141102,1
32,20141109,1
32,20141116,1
32,20141123,1
32,20141130,1
32,20141207,1
33,20140629,1
33,20140706,1
33,20140713,1
33,20140720,1
33,20140727,1
33,20140803,1
33,20140810,1
33,20140817,1
33,20140824,1
33,20140831,1
33,20140907,1
33,20140914,1
33,20140928,1
33,20141005,1
33,20141012,1
33,20141019,1
33,20141026,1
33,20141102,1
33,20141109,1
33,20141116,1
33,20141123,1
33,20141130,1
33,20141207,1
38,20140628,2
38,20140920,2
38,20140921,2
39,20140627,1
39,20140704,1
39,20140705,1
39,20140711,1
39,20140712,1
39,20140718,1
39,20140719,1
39,20140725,1
39,20140726,1
39,20140801,1
39,20140802,1
39,20140808,1
39,20140809,1
39,20140815,1
39,20140816,1
39,20140822,1
39,20140823,1
39,20140829,1
39,20140830,1
39,20140905,1
39,20140906,1
39,20140912,1
39,20140913,1
39,20140919,1
39,20140926,1
39,20140927,1
39,20141003,1
39,20141004,1
39,20141010,1
39,20141011,1
39,20141017,1
39,20141018,1
39,20141024,1
39,20141025,1
39,20141031,1
39,20141101,1
39,20141107,1
39,20141108,1
39,20141114,1
39,20141115,1
39,20141121,1
39,20141122,1
39,20141128,1
39,20141129,1
39,20141205,1
39,20141206,1
39,20141212,1
39,20141213,1
36,20140623,1
36,20140624,1
36,20140625,1
36,20140626,1
36,20140627,1
36,20140630,1
36,20140701,1
36,20140702,1
36,20140703,1
36,20140704,1
36,20140707,1
36,20140708,1
36,20140709,1
36,20140710,1
36,20140711,1
36,20140714,1
36,20140715,1
36,20140716,1
36,20140717,1
36,20140718,1
36,20140721,1
36,20140722,1
36,20140723,1
36,20140724,1
36,20140725,1
36,20140728,1
36,20140729,1
36,20140730,1
36,20140731,1
36,20140801,1
36,20140804,1
36,20140805,1
36,20140806,1
36,20140807,1
36,20140808,1
36,20140811,1
36,20140812,1
36,20140813,1
36,20140814,1
36,20140815,1
36,20140818,1
36,20140819,1
36,20140820,1
36,20140821,1
36,20140822,1
36,20140825,1
36,20140826,1
36,20140827,1
36,20140828,1
36,20140829,1
36,20140901,1
36,20140902,1
36,20140903,1
36,20140904,1
36,20140905,1
36,20140908,1
36,20140909,1
36,20140910,1
36,20140911,1
36,20140912,1
36,20140915,1
36,20140916,1
36,20140917,1
36,20140918,1
36,20140919,1
36,20140922,1
36,20140923,1
36,20140924,1
36,20140925,1
36,20140926,1
37,20140628,2
37,20140629,2
37,20140920,2
37,20140921,2
42,20140628,2
42,20140629,2
42,20140823,2
42,20140824,2
42,20140830,2
42,20140920,2
42,20140921,2
43,20140628,2
43,20140629,2
43,20140823,2
43,20140824,2
43,20140830,2
43,20140920,2
43,20140921,2
43,20140929,2
43,20140930,2
43,20141001,2
43,20141002,2
43,20141003,2
43,20141004,2
43,20141005,2
43,20141006,2
43,20141007,2
43,20141008,2
43,20141009,2
43,20141010,2
43,20141011,2
43,20141012,2
43,20141013,2
43,20141014,2
43,20141015,2
43,20141016,2
43,20141017,2
43,20141018,2
43,20141019,2
43,20141020,2
43,20141021,2
43,20141022,2
43,20141023,2
43,20141024,2
43,20141025,2
43,20141026,2
43,20141027,2
43,20141028,2
43,20141029,2
43,20141030,2
43,20141031,2
43,20141101,2
43,20141102,2
43,20141103,2
43,20141104,2
43,20141105,2
43,20141106,2
43,20141107,2
43,20141108,2
43,20141109,2
43,20141110,2
43,20141111,2
43,20141112,2
43,20141113,2
43,20141114,2
43,20141115,2
43,20141116,2
43,20141117,2
43,20141118,2
43,20141119,2
43,20141120,2
43,20141121,2
43,20141122,2
43,20141123,2
43,20141124,2
43,20141125,2
43,20141126,2
43,20141127,2
43,20141128,2
43,20141129,2
43,20141130,2
43,20141201,2
43,20141202,2
43,20141203,2
43,20141204,2
43,20141205,2
43,20141206,2
43,20141207,2
43,20141208,2
43,20141209,2
43,20141210,2
43,20141211,2
43,20141212,2
43,20141213,2
40,20140628,1
40,20140705,1
40,20140712,1
40,20140719,1
40,20140726,1
40,20140802,1
40,20140809,1
40,20140816,1
40,20140906,1
40,20140913,1
40,20140927,1
40,20141004,1
40,20141011,1
40,20141018,1
40,20141025,1
40,20141101,1
40,20141108,1
40,20141115,1
40,20141122,1
40,20141129,1
40,20141206,1
40,20141213,1
41,20140705,1
41,20140706,1
41,20140712,1
41,20140713,1
41,20140719,1
41,20140720,1
41,20140726,1
41,20140727,1
41,20140802,1
41,20140803,1
41,20140809,1
41,20140810,1
41,20140816,1
41,20140817,1
41,20140831,1
41,20140906,1
41,20140907,1
41,20140913,1
41,20140914,1
41,20140927,1
41,20140928,1
41,20141004,1
41,20141005,1
41,20141011,1
41,20141012,1
41,20141018,1
41,20141019,1
41,20141025,1
41,20141026,1
41,20141101,1
41,20141102,1
41,20141108,1
41,20141109,1
41,20141115,1
41,20141116,1
41,20141122,1
41,20141123,1
41,20141129,1
41,20141130,1
41,20141206,1
41,20141207,1
41,20141213,1
46,20140623,1
46,20140624,1
46,20140625,1
46,20140626,1
46,20140627,1
46,20140630,1
46,20140701,1
46,20140702,1
46,20140703,1
46,20140704,1
46,20140707,1
46,20140708,1
46,20140709,1
46,20140710,1
46,20140711,1
46,20140714,1
46,20140715,1
46,20140716,1
46,20140717,1
46,20140718,1
46,20140721,1
46,20140722,1
46,20140723,1
46,20140724,1
46,20140725,1
46,20140728,1
46,20140729,1
46,20140730,1
46,20140731,1
46,20140801,1
46,20140804,1
46,20140805,1
46,20140806,1
46,20140807,1
46,20140808,1
46,20140811,1
46,20140812,1
46,20140813,1
46,20140814,1
46,20140815,1
46,20140818,1
46,20140819,1
46,20140820,1
46,20140821,1
46,20140822,1
46,20140825,1
46,20140826,1
46,20140827,1
46,20140828,1
46,20140829,1
47,20140901,1
47,20140902,1
47,20140903,1
47,20140904,1
47,20140905,1
47,20140908,1
47,20140909,1
47,20140910,1
47,20140911,1
47,20140912,1
47,20140915,1
47,20140916,1
47,20140917,1
47,20140918,1
47,20140919,1
47,20140922,1
47,20140923,1
47,20140924,1
47,20140925,1
47,20140926,1
47,20140929,1
47,20140930,1
47,20141001,1
47,20141002,1
47,20141003,1
47,20141006,1
47,20141007,1
47,20141008,1
47,20141009,1
47,20141010,1
47,20141013,1
47,20141014,1
47,20141015,1
47,20141016,1
47,20141017,1
47,20141020,1
47,20141021,1
47,20141022,1
47,20141023,1
47,20141024,1
47,20141027,1
47,20141028,1
47,20141029,1
47,20141030,1
47,20141031,1
47,20141103,1
47,20141104,1
47,20141105,1
47,20141106,1
47,20141107,1
47,20141110,1
47,20141111,1
47,20141112,1
47,20141113,1
47,20141114,1
47,20141117,1
47,20141118,1
47,20141119,1
47,20141120,1
47,20141121,1
47,20141124,1
47,20141125,1
47,20141126,1
47,20141127,1
47,20141128,1
47,20141201,1
47,20141202,1
47,20141203,1
47,20141204,1
47,20141205,1
47,20141208,1
