from_stop_id,to_stop_id,transfer_type,min_transfer_time
7400482,7400482,3,
7400483,7400483,2,
7400484,7400484,2,300
7400485,7400485,3,
7400486,7400486,3,
7400488,7400488,2,300
7400489,7400489,2,
7400490,7400490,2,600
7400491,7400491,2,
7400492,7400492,2,600
7400493,7400493,2,
7400495,7400495,3,
7400496,7400496,3,
7400497,7400497,2,
7400498,7400498,2,300
7400499,7400499,2,
7400500,7400500,2,600
7400501,7400501,3,
7400502,7400502,2,300
7400503,7400503,3,
7400504,7400504,3,
7400505,7400505,3,
7400506,7400506,3,
7400507,7400507,2,300
7400508,7400508,3,
7400510,7400510,3,
7400511,7400511,2,600
7400512,7400512,2,300
7400513,7400513,2,300
7400514,7400514,2,
7400515,7400515,2,300
7400516,7400516,2,
7400517,7400517,2,
7400518,7400518,2,
7400519,7400519,2,
7400520,7400520,2,600
7400521,7400521,2,
7400522,7400522,3,
7400523,7400523,2,300
7400524,7400524,3,
7400525,7400525,3,
7400526,7400526,2,600
7400527,7400527,3,
7400529,7400529,3,
7400530,7400530,2,300
7400531,7400531,3,
7400532,7400532,2,
7400533,7400533,2,600
7400535,7400535,2,
7400536,7400536,2,
7400537,7400537,2,180
7400538,7400538,2,
7400539,7400539,3,
7400540,7400540,2,300
7400541,7400541,2,300
7400542,7400542,3,
7400543,7400543,3,
7400545,7400545,2,240
7400546,7400546,3,
7400547,7400547,3,
7400548,7400548,3,
7400549,7400549,2,60
7400550,7400550,3,
7400551,7400551,2,
7400552,7400552,3,
7400553,7400553,2,600
7400554,7400554,2,1800
7400555,7400555,2,300
7400556,7400556,2,3600
7400557,7400557,2,300
7400558,7400558,2,
7400559,7400559,2,600
7400561,7400561,2,
7400564,7400564,2,
7400567,7400567,3,
7400569,7400569,2,600
7400571,7400571,2,300
7400572,7400572,2,
7400573,7400573,2,
7400574,7400574,3,
7400575,7400575,2,
7400576,7400576,2,
7400577,7400577,2,600
7400578,7400578,3,
7400580,7400580,2,300
7400583,7400583,2,180
7400584,7400584,3,
7400585,7400585,2,300
7400587,7400587,3,
7400588,7400588,2,
7400589,7400589,2,300
7400590,7400590,2,
7400591,7400591,2,
7400592,7400592,2,
7400593,7400593,2,
7400594,7400594,2,300
7400596,7400596,3,
7400597,7400597,2,180
7400598,7400598,3,
7400599,7400599,2,300
7400600,7400600,2,300
7400601,7400601,3,
7400602,7400602,2,600
7400603,7400603,3,
7400604,7400604,3,
7400605,7400605,2,300
7400606,7400606,2,
